Debug    | 2021-12-14 12:08:54 周二 | :0,  | between getImage and find the object time: 69
Debug    | 2021-12-14 12:08:54 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:54 周二 | :0,  | between getImage and find the object time: 67
Debug    | 2021-12-14 12:08:54 周二 | :0,  | between getImage and find the object time: 67
Debug    | 2021-12-14 12:08:55 周二 | :0,  | between getImage and find the object time: 67
Debug    | 2021-12-14 12:08:55 周二 | :0,  | between getImage and find the object time: 67
Debug    | 2021-12-14 12:08:55 周二 | :0,  | between getImage and find the object time: 68
Debug    | 2021-12-14 12:08:55 周二 | :0,  | between getImage and find the object time: 68
Debug    | 2021-12-14 12:08:55 周二 | :0,  | between getImage and find the object time: 69
Debug    | 2021-12-14 12:08:55 周二 | :0,  | between getImage and find the object time: 67
Debug    | 2021-12-14 12:08:55 周二 | :0,  | between getImage and find the object time: 68
